pid,A,Y,X
0,0.0,0.2495,-0.5734
1,1.0,0.6938,0.0192
2,1.0,1.1953,-0.1122
3,1.0,2.7789,-0.3761
4,1.0,4.2102,1.4355
5,0.0,2.474,0.8418
6,1.0,0.818,0.5146
7,0.0,0.2115,0.65
8,0.0,-3.1437,-1.1065
9,1.0,1.1937,0.9375
10,0.0,1.0878,-0.6329
11,0.0,-2.1391,-0.2082
12,1.0,3.302,1.2292
13,0.0,-0.6807,-1.3041
14,1.0,-1.5894,-1.5956
15,0.0,-2.2113,-1.0556
16,1.0,5.5031,1.7898
17,0.0,-0.2082,-0.0298
18,1.0,4.3208,0.7634
19,1.0,1.4122,-0.4998
20,0.0,-4.8873,-1.7637
21,0.0,0.588,0.3194
22,1.0,3.6745,0.8972
23,1.0,2.9586,-0.2357
24,0.0,0.5562,0.6814
25,0.0,-0.3911,-0.8202
26,1.0,1.1831,0.6554
27,1.0,3.2322,0.8038
28,0.0,-0.2071,-0.8423
29,1.0,4.6209,-0.5253
30,0.0,-0.89,-0.2724
31,0.0,-4.507,-1.7901
32,1.0,4.0079,0.228
33,0.0,1.3569,-0.3921
34,1.0,2.6472,-0.2493
35,0.0,-1.204,-0.3045
36,0.0,-3.7839,-1.878
37,0.0,0.0899,-0.9236
38,1.0,2.8209,-1.0988
39,1.0,2.2844,0.9526
40,0.0,1.1043,-0.1391
41,0.0,-1.6487,-0.9272
42,0.0,0.0252,0.4107
43,0.0,-0.632,-0.9686
44,1.0,2.7056,-0.232
45,1.0,-0.2022,-0.4563
46,1.0,-0.7634,-1.5304
47,1.0,-1.709,-1.7743
48,0.0,-0.5048,-0.5094
49,0.0,-2.6722,-0.0146
50,1.0,4.106,0.6914
51,0.0,-1.2345,-1.104
52,0.0,-0.2071,-0.4906
53,0.0,-1.3223,-0.0126
54,0.0,0.0893,-0.2914
55,1.0,-0.0863,-0.7275
56,0.0,2.0508,0.9903
57,1.0,3.028,0.3819
58,0.0,1.6137,1.3724
59,0.0,2.7104,0.9353
60,1.0,1.643,0.948
61,0.0,0.9371,0.3682
62,0.0,-3.6507,-1.7407
63,1.0,3.0442,0.6743
64,1.0,2.3434,0.8573
65,0.0,-0.8249,0.0805
66,0.0,0.436,-0.0793
67,1.0,2.1413,-0.7376
68,1.0,1.3858,-0.7491
69,0.0,2.6676,1.206
70,0.0,-0.6996,-0.7442
71,0.0,-5.0252,-2.0807
72,0.0,0.7789,-0.1751
73,0.0,-2.8808,-0.7078
74,0.0,-2.0897,-0.9624
75,1.0,2.1812,0.4443
76,0.0,-2.528,-2.5518
77,0.0,-1.1163,0.2261
78,0.0,0.4436,-0.45
79,1.0,-0.0867,-0.808
80,0.0,-1.1178,-0.7294
81,1.0,-0.0278,-0.247
82,1.0,5.1112,1.9759
83,0.0,0.7666,0.0848
84,0.0,0.6451,0.0839
85,1.0,4.527,0.9753
86,1.0,2.0503,0.218
87,0.0,2.4404,0.2988
88,1.0,1.1564,-0.8714
89,1.0,0.8357,-0.9631
90,0.0,1.3606,-0.0906
91,0.0,-2.316,-0.5278
92,0.0,-0.2519,-0.1975
93,0.0,-3.0506,-1.1149
94,1.0,3.2551,1.3569
95,0.0,1.1404,0.2617
96,0.0,-0.6208,-0.8281
97,0.0,0.0719,-0.347
98,1.0,1.0498,0.3805
99,1.0,3.2428,0.035
100,0.0,1.4907,-0.6327
101,0.0,-2.8192,-1.2189
102,0.0,0.0662,0.3645
103,1.0,2.3957,0.6325
104,0.0,0.84,0.5632
105,0.0,2.9462,1.2955
106,1.0,0.294,-0.9394
107,0.0,0.9666,0.821
108,0.0,-1.5592,-0.8051
109,0.0,-2.3567,0.1261
110,0.0,-0.8446,-0.3812
111,0.0,-3.506,-1.8305
112,0.0,0.7767,0.46
113,1.0,2.1525,0.7622
114,1.0,2.9179,-1.4446
115,1.0,3.8922,0.8437
116,0.0,2.6373,1.8174
117,0.0,-2.8783,-1.1713
118,1.0,1.6867,0.1055
119,1.0,3.785,0.6534
120,0.0,2.8829,0.5736
121,1.0,5.2208,2.4414
122,1.0,3.0297,0.8373
123,1.0,3.7398,1.1067
124,1.0,1.5024,0.0897
125,1.0,1.5315,-0.5377
126,0.0,-1.7961,-0.941
127,1.0,2.5511,0.6795
128,1.0,2.5684,0.3466
129,1.0,3.539,1.4098
